DATE,DAY ,HOLIDAY
01-01-2024,Monday,New Year
26-01-2024,Friday,Republic Day
08-03-2024,Friday,Maha Shivratri 
25-03-2024,Monday,Holi 
29-03-2024,Friday,Good Friday 
10-04-2024,Wednesday,Ramzan/Idul Fitr
01-05-2024,Wednesday,May Day 
17-06-2024,Monday,Bakri Id
15-08-2024,Thursday,Independence Day
19-08-2024,Monday,Raksha Bandhan
26-08-2024,Monday,Janmashtmi
02-10-2024,Wednesday,Gandhi Jayanti
12-10-2024,Saturday,Dussehra
01-11-2024,Friday,Diwali
02-11-2024,Saturday,Vishkarma Day
03-11-2024,Sunday,Bhai Dhoj
15-11-2024,Friday,Guru Nanak Birthday
25-12-2024,Wednesday,Christmas
